Years,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
    By occupation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Management (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7212360,7092460,6653480,6200940,5960560,5892900,6003930,6152650,6116380,6022860,6183820,6390430,6542950,6741640,6936990,7090790,7280330,7616650
        Legal (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,909370,934850,951510,958520,986740,976740,998590,1003270,999020,992650,1002330,1023020,1041700,1052900,1062370,1075520,1095770,1127900
        Computer and Mathematical (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2825870,2772620,2827010,2915300,2952740,3076200,3191360,3308260,3303690,3283950,3406720,3578220,3696180,3834180,4005250,4165140,4261460,4384300
        Architecture and Engineering (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2489070,2411260,2376650,2372770,2382480,2430250,2486020,2521630,2412730,2305530,2310830,2356530,2380840,2418020,2475390,2499050,2516780,2556220
        Healthcare Practitioners and Technical (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6118970,6185020,6173760,6359380,6547350,6713780,6877680,7076800,7200950,7346580,7514980,7649930,7755810,7854380,8021800,8318500,8506740,8646730
        Business and Financial Operations (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4676680,4772120,4924210,5131840,5410410,5826140,6015500,6135520,6063670,6090910,6178070,6419370,6658090,6828940,7032560,7281190,7472750,7721300
"        Life, Physical, and Social Science (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1067730,1078630,1113130,1131390,1185730,1231070,1255670,1296840,1308380,1064510,1082370,1104100,1135030,1144440,1146110,1152840,1148300,1171910
"        Arts, Design, Entertainment, Sports, and Media (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1508790,1503680,1538150,1595710,1683310,1727380,1761270,1804940,1745670,1716640,1725670,1750130,1758310,1793700,1843600,1902970,1925140,1951170
"        Education, Training, and Library (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7658480,7772470,7831630,7891810,8078500,8206440,8316360,8451250,8488740,8457870,8409060,8374910,8400640,8435780,8542670,8636430,8727710,8779780
        Construction and Extraction (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6239430,6124600,6085510,6170410,6370400,6680710,6708200,6548760,5751630,5072530,4956770,4978290,5088030,5290270,5477820,5585420,5728460,5962640
        Community and Social Service (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1523890,1576980,1615610,1673740,1692950,1749210,1793040,1861750,1891320,1901180,1890410,1882080,1901730,1930750,1972140,2019250,2096740,2171820
