year,period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate,states,st
2000.0,Sep,72.2,69.7,1148144.0,1107901.0,40243.0,3.5,Utah,ut
2001.0,Sep,71.6,68.3,1166276.0,1111943.0,54333.0,4.7,Utah,ut
2002.0,Sep,71.4,67.2,1187938.0,1117450.0,70488.0,5.9,Utah,ut
2003.0,Sep,71.0,67.1,1204373.0,1138031.0,66342.0,5.5,Utah,ut
2004.0,Sep,71.1,67.7,1237613.0,1178153.0,59460.0,4.8,Utah,ut
2005.0,Sep,71.8,69.0,1283692.0,1232859.0,50833.0,4.0,Utah,ut
2006.0,Sep,71.9,69.9,1327531.0,1290988.0,36543.0,2.8,Utah,ut
2007.0,Sep,71.9,69.9,1366220.0,1328918.0,37302.0,2.7,Utah,ut
2008.0,Sep,70.5,67.9,1370622.0,1319447.0,51175.0,3.7,Utah,ut
2009.0,Sep,68.6,63.4,1358521.0,1254831.0,103690.0,7.6,Utah,ut
2010.0,Sep,69.0,63.6,1355732.0,1250305.0,105427.0,7.8,Utah,ut
2011.0,Sep,67.6,63.2,1349818.0,1263369.0,86449.0,6.4,Utah,ut
2012.0,Sep,67.8,64.3,1379310.0,1307993.0,71317.0,5.2,Utah,ut
2013.0,Sep,68.2,65.2,1412304.0,1349876.0,62428.0,4.4,Utah,ut
2014.0,Sep,68.0,65.4,1431682.0,1377823.0,53859.0,3.8,Utah,ut
2015.0,Sep,68.3,65.8,1466908.0,1413861.0,53047.0,3.6,Utah,ut
2016.0,Sep,68.8,66.5,1516761.0,1466066.0,50695.0,3.3,Utah,ut
2017.0,Sep,68.8,66.6,1553867.0,1503651.0,50216.0,3.2,Utah,ut
2018.0,Sep,68.2,66.1,1574010.0,1526507.0,47503.0,3.0,Utah,ut
2019.0,Sep,68.5,66.8,1618990.0,1579270.0,39720.0,2.5,Utah,ut
2020.0,Sep,68.8,65.4,1663385.0,1580574.0,82811.0,5.0,Utah,ut
1976.0,Sep,63.2,58.2,218206.0,200706.0,17500.0,8.0,Vermont,vt
1977.0,Sep,65.6,61.3,231631.0,216366.0,15265.0,6.6,Vermont,vt
